sr,title,note,download,extension,numD,sizeTxt,sizeKB,category,remarks,no. of data rows,no. of columns,narrow or wide(pivoted)
0,School Enrollment data for 2014--15,"School Enrollment data, education department",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/418?filepath=%2FDocuments%2F418%2FSchool%20Enrollment%20data%20for%202014--15.xlsx,xlsx,26,571.54 kb,572,education,,,,
1,School Enrollment Data for 2012--13,School Enrollment data,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/415?filepath=%2FDocuments%2F415%2FSchool%20Enrollment%20Data%20for%202012--13.xlsx,xlsx,12,553.28 kb,553,education,,,,
2,PMPML Monthly,PMPML monthly,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/412?filepath=%2FDocuments%2F412%2FPMPML%20Monthly.xlsx,xlsx,38,37.8 kb,38,bus,,,,
3,PMPML Monthly Information,PMPML Monthly,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/409?filepath=%2FDocuments%2F409%2FPMPML%20Monthly%20Information.xlsx,xlsx,14,39.41 kb,39,bus,,,,
4,PMPML Monthly Stat Data Feb 18,PMPML Monthly Stat Report,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/406?filepath=%2FDocuments%2F406%2FPMPML%20Monthly%20Stat%20Data%20Feb%2018.xlsx,xlsx,15,40.33 kb,40,bus,,,,
5,List of Community & Public Toilets 2017,Source: Sarvekshan 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/403?filepath=%2FDocuments%2F403%2FList%20of%20Community%20%26%20Public%20Toilets%202017.xlsx,xlsx,20,66.22 kb,66,toilet,,,,
6,School Enrollment statistics for 2016--17,School Enrollment statistics for all the schools within PMC. Sourced from U--DISE,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/400?filepath=%2FDocuments%2F400%2FSchool%20Enrollment%20statistics%20for%202016--17.xlsx,xlsx,30,438.9 kb,439,education,,,,
7,Garbage Vulnerable Points,List of Garbage vulnerable points by ward,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/397?filepath=%2FDocuments%2F397%2FGarbage%20Vulnerable%20Points.xlsx,xlsx,16,16.23 kb,16,waste management,,,,
8,list of vehicle Registered in the city under PMC,This excel sheet contains list of vehicle registerd in the city under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/394?filepath=%2FDocuments%2F394%2Flist%20of%20vehicle%20Registered%20in%20the%20city%20under%20PMC.xlsx,xlsx,405,54.02 kb,54,transport,,,,
9,List of Birth And Death rate for the year 2016.,This excel sheet contains list of birth and death rate in the city for the year 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/391?filepath=%2FDocuments%2F391%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202016..xlsx,xlsx,173,2.89 mb,2959,birth death,,,,
